screen_name,text,favorite_count,retweet_count,url,id,Date,friends_count,followers_count,Post_Flag,Tweet_Flag,mediatype,Show,total_engagements,Author Type,Final Tagging,image_url,spend_level,subproperty
BlaccRenaissan1,I cannot believe FOXSOUL gave CYNTHIA G a platform to speak THAT NONSENSE ,2,1,www.twitter.com/BlaccRenaissan1/status/1567984005038874631,'1567984005038874631,9/8/2022 0:00,,,Post,Main,,Fox Soul,3,,Organic,,,
Terrywatnis,Cops Let Woman Go Because Of Black Privilege Card  FOX SOULs White Report #blackprivilege https://tco/N9Ec3BEZsx,2,1,www.twitter.com/Terrywatnis/status/1567336784073293824,'1567336784073293824,9/6/2022 0:00,,,Post,Main,photo,Fox Soul,3,,Organic,http://pbs.twimg.com/media/FcBMenZXEAAQtSI.jpg,,
BillAFox29,It was a pleasure meeting and talking to my @foxsoultv cousin @MsVivicaFox on #ThePulseWithBillAnderson She shared so much wisdom and fun stories Join us Monday on @Fox29Philly  #FoxSoul #talkshowguest #podcast #tv #podcastlife #talkshow #talkshowhost https://tco/GQgc1z5hv7,2,1,www.twitter.com/BillAFox29/status/1568291300818014210,'1568291300818014210,9/9/2022 0:00,,,Post,Main,,Fox Soul,3,,Organic,,,
foxsoultv,Whose report will you believe We shall believe the report of the LORD His report says the McDonalds Gospelfest is BACK this Sunday   Make sure you come get your praise on with your FOX SOUL family TOMORROW at 2p/11a PT only on FOX SOUL #LinkInBio https://tco/jSICsP3nm,2,1,www.twitter.com/foxsoultv/status/1568689736335646720,'1568689736335646720,9/10/2022 0:00,,,Post,Main,video,Fox Soul,3,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1568689531691454464/pu/img/nF1Z_hWAXf0olQfg.jpg,,
foxsoultv,We know some of yall probably JUST started cooking but which dish are you keeping OFF your plate at the functionxe2x8xa6 https://tco/fp8d2eBUb,2,1,www.twitter.com/foxsoultv/status/1566866430397714438,'1566866430397714438,9/5/2022 0:00,494,6548,Post,Main,,Fox Soul,3,Show Page,Owned,,,
foxsoultv,The Holiday weekend made this short week a struggle so you know we are KICKED BACK this weekend nnWhat are yourxe2x8xa6 https://tco/jPqfHWdIT,2,0,www.twitter.com/foxsoultv/status/1568641918443331584,'1568641918443331584,9/10/2022 0:00,494,6548,Post,Main,,Fox Soul,2,Show Page,Owned,,,
foxsoultv,We all need someone to talk to and @DrSeanMcMillan is here to be a listening ear or a shoulder to cry on Nows yoxe2x8xa6 https://tco/vrIbOJqh7e,1,1,www.twitter.com/foxsoultv/status/1566572034263601152,'1566572034263601152,9/4/2022 0:00,494,6548,Post,Main,,Fox Soul,2,Show Page,Owned,,,
LilFlip713, 3 PICTURES TO CELEBRATE #THEARTOFFREESTYLE3  RELEASE WIT @isiahcareyfox26 ON @fox26houston @foxsoul  #RIPBIGMOE  #RIPFATPAT #RIPDJSCREW  #RIPHAWK     https://tco/cBNmYZG6PE,1,1,www.twitter.com/LilFlip713/status/1567363367400275968,'1567363367400275968,9/7/2022 0:00,,,Post,Main,,Fox Soul,2,,Organic,,,
BeatZillaPDX,Soggy G was on FoxSoul ,1,1,www.twitter.com/BeatZillaPDX/status/1568019068699185152,'1568019068699185152,9/8/2022 0:00,,,Post,Main,,Fox Soul,2,,Organic,,,
willie35,@dwannb its not hard to post a link man FOX SOUL LIVE: Tammi Mac https://tco/qtDyPb4nx,2,0,www.twitter.com/willie35/status/1567662063748612097,'1567662063748612097,9/7/2022 0:00,,,Post,Main,,Fox Soul,2,,Organic,,,
J_Real3,Debating Bitterness Fox Soul Recap @dwannb is live https://tco/Km1Xi8Qdw2 via @YouTube,1,1,www.twitter.com/J_Real3/status/1567744036173393920,'1567744036173393920,9/8/2022 0:00,,,Post,Main,,Fox Soul,2,,Organic,,,
foxsoultv,We love a good Maverick Movie Marathon xfx9fxa5xb3 nnDont miss it TOMORROW 3p/12p PT ONLY on #FOXSoul xfx9fxa6x8axfx9fx92x9c #LinkInBioxe2x8xa6 https://tco/1gWt7swcP9,0,1,www.twitter.com/foxsoultv/status/1568344997354668032,'1568344997354668032,9/9/2022 0:00,494,6548,Post,Main,,Fox Soul,1,Show Page,Owned,,,
foxsoultv,Happy Labor Day #Soulmates https://tco/7uh1eAB4nw,1,0,www.twitter.com/foxsoultv/status/1566830108006047744,'1566830108006047744,9/5/2022 0:00,494,6548,Post,Main,,Fox Soul,1,Show Page,Owned,http://pbs.twimg.com/media/Fb5_jrJXgAAdiJb.jpg,,
McJcave18,@blackmanrise1 @ideclarefood I havent seen the interview but from what I know about Fox Soul they have panel discussions on a particular topic Which is why I said I still have to watch it so you might be right,0,1,www.twitter.com/McJcave18/status/1568770474917728259,'1568770474917728259,9/10/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
8EightPillars,Fox Soul might be a psyop dog,0,1,www.twitter.com/8EightPillars/status/1568364335130451969,'1568364335130451969,9/9/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
omar_rasheeda,Debating Bitterness Fox Soul Recap https://tco/AJmQP5vUOx via @YouTube,0,1,www.twitter.com/omar_rasheeda/status/1567992075638939654,'1567992075638939654,9/8/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,NStyle Atlanta Full Episode  Fox Soul Special https://tco/iA28tR4oE,0,1,www.twitter.com/Kiwes/status/1567265141745684481,'1567265141745684481,9/6/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,FOX SOUL LIVE: Fox Soul Screening Room The Book of Sean  more https://tco/mPeIsR71JL,0,1,www.twitter.com/Kiwes/status/1567149003372101632,'1567149003372101632,9/6/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,FOX SOUL LIVE: Tammi Mac TEA-G-I-F  more https://tco/1PNcvyZQNN,0,1,www.twitter.com/Kiwes/status/1567513406319763458,'1567513406319763458,9/7/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
JazzyG23629057,Dr Umar Johnson Obliterates @Cynthia G On @FOX Soul For Disrespecting  https://tco/GjSvOvf7Hk via @YouTube,0,1,www.twitter.com/JazzyG23629057/status/1568737874278752261,'1568737874278752261,9/10/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,FOX SOUL LIVE: The House TEA-G-I-F  more https://tco/wgXHuikFKn,0,1,www.twitter.com/Kiwes/status/1568235665107865601,'1568235665107865601,9/9/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
WalterD64407764,@dwannb Fox Soul is a brilliant creation by News Corp/ Rupert Murdock After decades of hearing Fox News is racist he platformed a channel full of Queens the gossiping type and the YOU KNOW,1,0,www.twitter.com/WalterD64407764/status/1567602335592980484,'1567602335592980484,9/7/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,FOX SOUL LIVE: Cocktails With Queens The Pulse w/ Bill Anderson  more https://tco/X2TJPTN1jG,0,1,www.twitter.com/Kiwes/status/1566882383542243328,'1566882383542243328,9/5/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
ctreid89,Debating Bitterness Fox Soul Recap https://tco/1LtKjDyjkN via @YouTube,0,1,www.twitter.com/ctreid89/status/1567743093322956800,'1567743093322956800,9/8/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
jeffreylogics,@ctreid89 We need to pull the plug FoxSoul its gone far enough,1,0,www.twitter.com/jeffreylogics/status/1568215729060646912,'1568215729060646912,9/9/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
tico75,@DrUmarJohnson Oh Dr  Fox soul is funny business they got you  come on my show  #theblacktherapyshow,0,1,www.twitter.com/tico75/status/1568056198393466880,'1568056198393466880,9/8/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
clinton06,#TammiMac #foxsoul #BlackTwitter #news #BlackNewsToday #UmarJohnson #BlackMen #Video #YouTube #YouTuber #FDMG #Podcast #BlackPod Information Man Speaks PODCAST Watch Umar Johnson On Fox Soul Talking War Against Black Men STILL NO SCHOOL on YouTube - https://tco/hCQOO2znV https://tco/DX4lx4Ivgd,1,0,www.twitter.com/clinton06/status/1568698186415611904,'1568698186415611904,9/10/2022 0:00,,,Post,Main,photo,Fox Soul,1,,Organic,http://pbs.twimg.com/media/FcUiqROaIAAh622.jpg,,
Xpressionable,his is what should be done instead of this one sided BS certain black men women docall the Kweens out tonow get on them about swirling Umar Watch Dr Umar Johnson DESTROYS Troglodyte Cynthia G: Are Black Men Under Attack #fba #foxsoul https://tco/awXjUHsT7D,1,0,www.twitter.com/Xpressionable/status/1568260565738332160,'1568260565738332160,9/9/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
Kiwes,FOX SOUL LIVE: Hollywood Unlocked Book of Sean  more https://tco/XLJgX9RNxF,0,1,www.twitter.com/Kiwes/status/1567875038812209152,'1567875038812209152,9/8/2022 0:00,,,Post,Main,,Fox Soul,1,,Organic,,,
foxsoultv,We know yall need something to do after that good ol Sunday meal and we got the perfect thing to wrap your weekexe2x8xa6 https://tco/rDqjqfGebQ,0,0,www.twitter.com/foxsoultv/status/1568740043820519425,'1568740043820519425,9/10/2022 0:00,494,6548,Post,Main,,Fox Soul,0,Show Page,Owned,,,
foxsoultv,Each and every Tuesday were bringing you films from the future and were so excited to celebrate these young BLACxe2x8xa6 https://tco/sgk8hSDnI9,0,0,www.twitter.com/foxsoultv/status/1567184901811609600,'1567184901811609600,9/6/2022 0:00,494,6548,Post,Main,,Fox Soul,0,Show Page,Owned,,,
